permno date
75228 2005-02-15
11415 2007-04-23
93323 2013-03-08
86268 2004-04-01
89289 2015-03-03
90861 2007-07-18
91661 2007-10-17
92483 2008-02-25
92558 2013-05-31
91675 2008-03-03
16268 2018-06-11
10108 2005-03-18
16966 2018-08-16
79121 2008-08-26
54827 2007-08-01
91514 2012-04-02
17671 2007-11-19
14004 2014-05-19
90323 2008-07-23
92197 2011-09-22
12063 2007-04-24
15401 2016-04-05
16654 2018-05-22
80679 2007-03-02
33603 2006-11-20
36469 2008-07-09
11481 2008-05-05
78956 2005-07-15
52919 2008-10-01
78963 2016-08-31
83929 2009-11-02
82831 2014-11-11
90699 2006-01-09
14423 2019-04-12
80730 2006-10-16
85431 2005-01-05
16279 2019-03-15
80165 2013-02-05
85431 2004-09-28
11481 2009-05-19
89431 2009-05-05
50606 2015-08-25
77880 2004-08-18
15176 2017-07-06
86725 2009-11-10
89864 2004-02-05
86917 2005-02-10
16282 2018-12-11
12169 2008-09-15
84808 2014-02-24
11481 2011-02-07
78963 2018-08-02
12063 2009-09-15
50606 2014-10-21
12575 2013-09-25
36469 2007-12-19
90911 2007-08-01
82643 2016-04-26
14423 2018-06-12
71686 2004-03-31
11481 2008-07-14
62500 2006-11-21
87585 2004-08-04
10078 2007-05-14
33603 2007-08-15
92558 2013-09-25
16268 2018-11-08
62906 2006-11-01
11481 2013-12-20
14290 2014-11-18
11481 2013-11-08
17671 2012-01-10
10163 2006-02-06
14506 2015-07-21
45110 2004-03-25
77798 2007-10-01
78963 2019-03-06
80369 2005-08-23
80369 2006-06-12
84639 2006-11-02
86865 2006-06-12
37807 2007-04-13
86786 2010-01-25
76653 2008-09-16
83162 2005-06-14
51706 2009-06-11
16654 2018-05-16
86786 2010-02-23
90323 2011-02-07
11481 2009-08-05
12169 2004-01-05
91514 2017-02-27
10163 2007-08-07
12356 2017-04-04
91514 2013-05-16
15359 2018-09-24
50606 2015-04-20
90699 2006-02-28
86786 2006-08-23
84808 2015-04-21
88748 2004-07-01
12742 2015-05-14
12347 2012-06-14
72696 2007-08-21
91401 2007-05-31
16654 2018-09-11
12347 2012-06-05
85933 2004-08-16
92018 2008-08-26
75228 2005-04-29
89769 2005-10-24
10909 2012-02-10
72696 2007-02-01
17671 2012-08-21
10909 2019-04-08
27756 2016-08-22
83650 2005-04-19
16282 2018-11-28
91514 2012-04-26
84036 2004-09-02
76371 2007-07-16
83416 2007-05-07
16278 2018-01-24
75077 2004-11-03
14695 2017-03-14
87637 2007-02-27
11481 2008-03-07
92317 2008-08-04
46922 2015-10-26
86725 2009-07-28
83317 2007-08-17
52919 2008-06-12
12398 2011-08-03
16587 2017-08-24
10937 2004-02-25
92018 2010-10-27
87089 2007-12-18
12347 2014-06-25
12575 2013-12-20
80560 2012-02-28
17035 2019-02-26
12742 2014-07-21
83581 2005-02-15
84605 2004-04-21
86725 2006-04-17
83162 2005-05-11
89431 2006-11-10
78083 2004-11-09
91514 2012-05-15
10163 2008-04-21
14004 2014-05-05
12169 2007-12-04
92183 2014-05-22
81912 2018-02-07
12575 2018-12-14
89289 2015-05-05
88539 2005-12-30
78818 2007-03-05
77052 2004-03-23
13294 2013-06-11
14695 2015-12-09
77659 2017-06-29
12789 2013-12-02
10909 2019-05-30
54181 2004-12-06
10163 2007-03-06
12169 2004-04-14
12356 2014-02-04
78963 2017-12-11
86307 2004-02-26
77279 2015-03-19
80997 2004-11-18
12347 2011-02-28
91370 2008-04-11
11481 2012-11-08
90911 2006-05-09
80165 2013-04-29
50032 2004-05-03
92317 2010-10-05
